index,instance,width_bound,heuristic,random_seed,tw,msss,score,log_likelihood,reasoning_time
148,insurance-5000,45,kmax,1,6,9600.0,-68053.141,-13.171643550104314,0.022357618808746337
149,hepar2-5000,45,kmax,1,6,384.0,-164433.669,-32.65355098137997,0.02971439599990845
150,hailfinder-5000,45,kmax,1,6,7128.0,-252361.308,-49.412306022659784,0.041479263305664066
151,child-5000,45,kmax,1,8,38880.0,-62059.503,-12.226682146119426,0.01796462059020996
152,barley-5000,45,kmax,1,5,2026080.0,-294944.952,-52.398346134361674,2.0125737953186036
153,alarm-5000,45,kmax,1,15,35831808.0,-53781.339,-10.415376396591016,5.2681557965278625
154,water-5000,45,kg,5,6,5184.0,-65865.813,-12.94633297885034,0.0171018648147583
155,survey-5000,45,kg,5,1,6.0,-19710.916,-3.931762627574588,0.006516373157501221
156,sachs-5000,45,kg,5,5,729.0,-36511.41,-7.1625360002157334,0.010849244594573974
157,link-5000,45,kg,5,9,1048576.0,-1635756.104,-317.0361987994867,4.181185669898987
158,insurance-5000,45,kg,5,12,1310720.0,-68053.141,-13.171643550104314,0.19357694387435911
159,hepar2-5000,45,kg,5,17,31850496.0,-164449.846,-32.65658682751123,37.50126534461975
160,diabetes-5000,45,kg,5,24,9.257422686587776e+24,-2270572.769,0.0,0.006966006755828857
161,child-5000,45,kg,5,6,4860.0,-62059.503,-12.226682146119426,0.012964539527893068
162,alarm-5000,45,kg,5,10,147456.0,-53781.339,-10.415376400626045,0.12594497680664063
163,water-5000,45,kg,4,3,256.0,-65865.813,-12.946533698495712,0.016494834423065187
164,survey-5000,45,kg,4,3,24.0,-19710.916,-3.931762627574588,0.008016383647918702
165,sachs-5000,45,kg,4,4,243.0,-36511.41,-7.1625360002157334,0.011986443996429444
166,link-5000,45,kg,4,12,8388608.0,-1634881.103,-317.5656255745315,20.911443662643432
167,insurance-5000,45,kg,4,12,8847360.0,-68053.141,-13.171643550104314,0.7331445455551148
168,hepar2-5000,45,kg,4,17,9437184.0,-164444.832,-32.655482338233675,14.197265741825104
169,child-5000,45,kg,4,8,17280.0,-62059.503,-12.22668017503302,0.028018696308135985
170,alarm-5000,45,kg,4,13,1679616.0,-53781.339,-10.415376400626045,0.3719983530044555
171,barley-5000,45,kg,4,6,2592000.0,-294944.952,-52.398346134361674,3.564910862445831
172,water-5000,45,kg,3,3,192.0,-65865.813,-12.946465970159297,0.014388298988342286
173,survey-5000,45,kg,3,3,24.0,-19710.916,-3.931762627574588,0.0060019254684448246
174,sachs-5000,45,kg,3,6,2187.0,-36511.41,-7.1625360002157334,0.01014596462249756
175,link-5000,45,kg,3,11,2097152.0,-1634600.457,-317.7497997883436,7.482617094516754
176,insurance-5000,45,kg,3,10,1228800.0,-68053.141,-13.171643550104314,0.174730544090271
177,hepar2-5000,45,kg,3,18,21233664.0,-164452.801,-32.65195017108869,29.741824550628664
178,hailfinder-5000,45,kg,3,8,114048.0,-252365.329,-49.4113734939812,0.17849157333374024
179,child-5000,45,kg,3,6,1296.0,-62059.503,-12.226682146119426,0.012854480743408205
180,barley-5000,45,kg,3,9,391910400.0,-294944.952,-52.398346134361674,32.708236103057864
181,alarm-5000,45,kg,3,9,82944.0,-53781.339,-10.415376400626045,0.030252695083618164
182,water-5000,45,kg,2,6,5184.0,-65865.813,-12.94633297885034,0.016746573448181153
183,survey-5000,45,kg,2,3,24.0,-19710.916,-3.931762627574588,0.007669632434844971
184,sachs-5000,45,kg,2,5,729.0,-36511.41,-7.162535736155533,0.007287640571594239
185,mildew-5000,45,kg,2,4,92160.0,-262638.071,-48.76825478114104,0.09550109386444092
186,link-5000,45,kg,2,9,524288.0,-1637520.29,-318.62568142327177,2.3849394798278807
187,insurance-5000,45,kg,2,8,122880.0,-68053.141,-13.171643550104314,0.06261685132980346
188,hailfinder-5000,45,kg,2,10,7983360.0,-252365.715,-49.411374890260355,11.759783034324649
189,child-5000,45,kg,2,12,466560.0,-62059.503,-12.22668017503302,0.039038710594177246
190,alarm-5000,45,kg,2,7,15552.0,-53781.339,-10.415376396591016,0.03547367811203003
191,water-5000,45,kg,1,4,768.0,-65865.813,-12.946465970159297,0.011024410724639892
192,survey-5000,45,kg,1,3,24.0,-19710.916,-3.931762627574588,0.006259613037109375
193,sachs-5000,45,kg,1,7,6561.0,-36511.41,-7.162536099798797,0.011696436405181886
194,mildew-5000,45,kg,1,5,2459520.0,-262638.071,-48.76825478114104,1.2027606987953186
195,hepar2-5000,45,kg,1,15,884736.0,-164440.057,-32.65653128905906,0.961468698978424
196,insurance-5000,45,kg,1,7,17280.0,-68053.141,-13.171643550104314,0.02455235004425049
197,hailfinder-5000,45,kg,1,11,70253568.0,-252358.219,-49.41111447268863,48.07707767724991
198,child-5000,45,kg,1,7,9720.0,-62059.503,-12.226682146119426,0.009687232971191406
199,alarm-5000,45,kg,1,8,4608.0,-53781.339,-10.415376400626045,0.02541717290878296
200,water-5000,40,kmax,5,4,768.0,-65865.813,-12.946464899539826,0.01527895212173462
201,survey-5000,40,kmax,5,2,12.0,-19710.916,-3.931762627574588,0.007984957695007323
202,sachs-5000,40,kmax,5,5,729.0,-36511.41,-7.162536099798797,0.00951167106628418
203,mildew-5000,40,kmax,5,5,14968800.0,-262638.071,-48.76825478114104,11.20433257818222
204,insurance-5000,40,kmax,5,6,9600.0,-68053.141,-13.171643550104314,0.023522281646728517
205,hepar2-5000,40,kmax,5,7,768.0,-164433.807,-32.65548005071869,0.03229015588760376
206,hailfinder-5000,40,kmax,5,4,1188.0,-252366.252,-49.41105401027431,0.02183149814605713
207,child-5000,40,kmax,5,8,38880.0,-62059.503,-12.226682146119426,0.017854578495025634
208,barley-5000,40,kmax,5,5,2026080.0,-294944.952,-52.398346134361674,1.6440988659858704
209,alarm-5000,40,kmax,5,15,35831808.0,-53781.339,-10.415376400626045,5.698953154087067
210,water-5000,40,kmax,4,4,768.0,-65865.813,-12.946465967622514,0.015031468868255616
211,survey-5000,40,kmax,4,2,12.0,-19710.916,-3.931762627574588,0.008096351623535156
212,sachs-5000,40,kmax,4,5,729.0,-36511.41,-7.162535736155533,0.00736229419708252
213,munin1-5000,40,kmax,4,12,61440000.0,-236460.606,-42.20484604121822,
214,mildew-5000,40,kmax,4,5,14968800.0,-262638.071,-48.76825478114104,13.29625083208084
215,insurance-5000,40,kmax,4,6,9600.0,-68053.141,-13.171643550104314,0.022516705989837647
216,hepar2-5000,40,kmax,4,6,384.0,-164436.247,-32.64603395899389,0.018364214897155763
217,hailfinder-5000,40,kmax,4,5,7128.0,-252369.674,-49.41177138345994,0.0382672119140625
218,child-5000,40,kmax,4,8,38880.0,-62059.503,-12.226682146119426,0.01169548273086548
219,barley-5000,40,kmax,4,5,1085400.0,-294944.952,-52.398346134361674,0.990689868927002
220,alarm-5000,40,kmax,4,15,35831808.0,-53781.339,-10.415376396591016,5.438062999248505
221,water-5000,40,kmax,3,4,768.0,-65865.813,-12.946334060412806,0.01038120985031128
222,survey-5000,40,kmax,3,2,12.0,-19710.916,-3.931762627574588,0.00890913486480713
223,sachs-5000,40,kmax,3,5,729.0,-36511.41,-7.162535736155533,0.00959794521331787
224,mildew-5000,40,kmax,3,5,14968800.0,-262638.071,-48.76825478114104,10.046239640712738
225,insurance-5000,40,kmax,3,6,9600.0,-68053.141,-13.171643550104314,0.025564613342285155
226,hepar2-5000,40,kmax,3,6,384.0,-164435.05,-32.654678808619195,0.031921660900115965
227,hailfinder-5000,40,kmax,3,6,7128.0,-252371.158,-49.41155772164775,0.041240675449371336
228,child-5000,40,kmax,3,8,38880.0,-62059.503,-12.226682146119426,0.018670103549957275
229,barley-5000,40,kmax,3,5,2026080.0,-294944.952,-52.398346134361674,1.331727888584137
230,alarm-5000,40,kmax,3,15,35831808.0,-53781.339,-10.415376396591016,3.1302445769309997
231,water-5000,40,kmax,2,4,768.0,-65865.813,-12.946418827835368,0.015401487350463866
232,survey-5000,40,kmax,2,2,12.0,-19710.916,-3.931762627574588,0.008852834701538087
233,sachs-5000,40,kmax,2,5,729.0,-36511.41,-7.1625360002157334,0.010098772048950195
234,munin1-5000,40,kmax,2,11,13824000.0,-237342.712,-42.15601923708051,50.12028860569
235,mildew-5000,40,kmax,2,5,14968800.0,-262638.071,-48.76825478114104,13.90786633491516
236,insurance-5000,40,kmax,2,6,9600.0,-68053.141,-13.171643550104314,0.014409806728363036
237,hepar2-5000,40,kmax,2,7,768.0,-164434.662,-32.65269671744903,0.029814903736114503
238,hailfinder-5000,40,kmax,2,6,7128.0,-252372.936,-49.411672261104,0.040908217430114746
239,child-5000,40,kmax,2,8,38880.0,-62059.503,-12.22668017503302,0.020965354442596437
240,barley-5000,40,kmax,2,5,1085400.0,-294944.952,-52.398346134361674,0.7535037541389465
241,alarm-5000,40,kmax,2,15,35831808.0,-53781.339,-10.415376396591016,4.15853627204895
242,water-5000,40,kmax,1,4,768.0,-65865.813,-12.946466225974426,0.014004662036895751
243,survey-5000,40,kmax,1,2,12.0,-19710.916,-3.931762627574588,0.008553402423858643
244,sachs-5000,40,kmax,1,5,729.0,-36511.41,-7.162535736155533,0.007062010765075684
245,munin-5000,40,kmax,1,7,120000.0,-1040997.78,-190.43574402282837,1.8872639870643615
246,mildew-5000,40,kmax,1,5,14968800.0,-262638.071,-48.76825478114104,13.485607798099515
247,insurance-5000,40,kmax,1,6,9600.0,-68053.141,-13.171643550104314,0.014107913970947263
248,hepar2-5000,40,kmax,1,7,768.0,-164435.058,-32.65467882129334,0.03165472030639648
