index,instance,width_bound,heuristic,random_seed,start_heur_widthmode,slim_applied,slim_autobudget_offset,slim_sat_timeout,slim_bag_traversal,tw,msss,score,log_likelihood,reasoning_time
92,link-5000,500000,kmax,1,cw,True,3.0,2.0,max-rand,10,262144,-1621819.265,-317.06983710517227,0.6506799864768982
93,link-5000,50,kmax,5,tw,True,7.0,120.0,max-rand,7,65536,-1627754.696,-318.22054766302887,0.9320765519142152
94,link-5000,500000,kmax,1,cw,True,3.0,10.0,max-rand,10,262144,-1621819.265,-317.06983710517227,0.6351065015792847
95,link-5000,500000,kmax,1,cw,True,3.0,120.0,max-rand,10,262144,-1621819.265,-317.06983710517227,0.6441329884529113
96,link-5000,5000,kmax,5,tw,True,7.0,120.0,max-rand,5,4096,-1634857.049,-317.6559569103221,0.5691525053977966
97,link-5000,5000,kmax,5,tw,True,7.0,10.0,max-rand,5,4096,-1626044.717,-316.5134496555407,0.5794461441040039
98,link-5000,500,kmax,5,tw,True,3.0,10.0,max-rand,6,16384,-1604083.651,-313.1034249522314,0.5449110889434814
99,link-5000,500,kmax,5,tw,True,3.0,120.0,max-rand,7,65536,-1624036.478,-317.1934438759064,0.5642982959747315
100,link-5000,5000,kmax,5,tw,True,7.0,2.0,max-rand,5,4096,-1629041.977,-317.0264893168671,0.7202060103416443
101,link-5000,50000,kmax,5,tw,True,3.0,120.0,max-rand,7,32768,-1606322.949,-312.8298330759333,1.0061108899116515
102,link-5000,500000,kmax,5,tw,True,7.0,2.0,max-rand,8,262144,-1606926.099,-312.92387026169547,1.3068087792396543
103,link-5000,5000,kmax,5,tw,True,3.0,2.0,max-rand,5,4096,-1629041.977,-317.0264893168671,0.5899900126457215
104,link-5000,50000,kmax,5,tw,True,3.0,2.0,max-rand,7,32768,-1604759.843,-312.6020392383306,0.8748330926895141
105,link-5000,500000,kmax,5,tw,True,7.0,120.0,max-rand,8,262144,-1606926.099,-312.92387026169547,1.339499864578247
106,link-5000,500000,kmax,5,tw,True,7.0,10.0,max-rand,8,262144,-1606926.099,-312.92387026169547,1.3136626553535462
107,link-5000,50000,kmax,5,tw,True,7.0,120.0,max-rand,8,262144,-1606926.099,-312.92387026169547,1.3130862021446228
108,link-5000,50000,kmax,5,tw,True,7.0,2.0,max-rand,8,262144,-1606926.099,-312.92387026169547,1.1421181178092956
109,link-5000,50000,kmax,5,tw,True,7.0,10.0,max-rand,8,262144,-1606926.099,-312.92387026169547,1.251360104084015
110,link-5000,5000,kmax,5,tw,True,3.0,120.0,max-rand,5,4096,-1634857.049,-317.6559569103221,0.581328284740448
111,link-5000,500000,kmax,5,tw,True,3.0,2.0,max-rand,8,262144,-1606926.099,-312.92387026169547,1.2138240027427674
112,link-5000,500000,kmax,5,tw,True,3.0,120.0,max-rand,8,262144,-1606926.099,-312.92387026169547,1.0092399406433106
113,link-5000,500000,kmax,5,tw,True,3.0,10.0,max-rand,8,262144,-1606926.099,-312.92387026169547,1.2603690814971924
114,link-5000,50,kg,5,tw,True,7.0,120.0,max-rand,7,32768,-1659205.307,-324.19234738727096,0.523295590877533
115,link-5000,50,kg,5,tw,True,3.0,120.0,max-rand,6,16384,-1656305.183,-324.1150808411245,0.5772496151924134
116,link-5000,50,kg,5,tw,True,3.0,2.0,max-rand,6,16384,-1655837.002,-324.08682363623615,0.5441365766525269
117,link-5000,500,kg,5,tw,True,3.0,2.0,max-rand,6,288,-1598604.361,-312.56814269721565,0.5006153607368469
118,link-5000,500,kg,5,tw,True,7.0,2.0,max-rand,6,1024,-1622432.638,-317.1672780003687,0.4889353251457214
119,link-5000,500,kg,5,tw,True,3.0,120.0,max-rand,6,288,-1637809.31,-319.26513906487423,0.5155564737319946
120,link-5000,500,kg,5,tw,True,7.0,120.0,max-rand,5,1024,-1649740.717,-322.25420240887576,0.5091189527511597
121,link-5000,500,kg,5,tw,True,7.0,10.0,max-rand,6,1024,-1624780.491,-316.8681797221201,0.5130230021476746
122,link-5000,50,kg,5,tw,True,3.0,10.0,max-rand,6,16384,-1655848.505,-324.0928825042183,0.35031891584396363
123,link-5000,5000,kg,5,tw,True,7.0,120.0,max-rand,8,4096,-1655152.875,-321.9013130042493,0.5818593692779541
124,link-5000,5000,kg,5,tw,True,3.0,10.0,max-rand,8,4096,-1646821.341,-320.44805481254315,0.5796728825569153
125,link-5000,5000,kg,5,tw,True,7.0,2.0,max-rand,8,4096,-1642549.417,-319.9444071260047,0.5111492991447448
126,link-5000,5000,kg,5,tw,True,3.0,120.0,max-rand,8,4096,-1655152.875,-321.9013130042493,0.5589273881912231
127,link-5000,500,kg,5,tw,True,3.0,10.0,max-rand,6,256,-1604055.296,-313.3905738914437,0.5305933380126953
128,link-5000,5000,kg,5,tw,True,7.0,10.0,max-rand,8,4096,-1646821.341,-320.44805481254315,0.5897406888008118
129,link-5000,5000,kg,5,tw,True,3.0,2.0,max-rand,8,4096,-1648475.81,-320.7841602366602,0.5896717238426209
130,link-5000,50000,kg,5,tw,True,7.0,120.0,max-rand,8,32768,-1646071.977,-320.6214704493097,0.7475858378410339
131,link-5000,50000,kg,5,tw,True,7.0,10.0,max-rand,8,32768,-1646071.977,-320.6214704493097,0.6490116214752197
132,link-5000,50000,kg,5,tw,True,3.0,120.0,max-rand,8,16384,-1644233.809,-320.05817277614426,0.4266602921485901
133,link-5000,500000,kg,5,tw,True,3.0,10.0,max-rand,8,32768,-1646071.977,-320.6214704493097,0.7812936758995056
134,link-5000,500000,kg,5,tw,True,7.0,2.0,max-rand,8,32768,-1646071.977,-320.6214704493097,0.7598465275764466
135,link-5000,50000,kg,5,tw,True,3.0,10.0,max-rand,8,16384,-1644530.822,-320.24545187281774,0.6638330888748168
136,link-5000,500000,kg,5,tw,True,3.0,120.0,max-rand,8,32768,-1646071.977,-320.6214704493097,0.7628273963928223
137,link-5000,500000,kg,5,tw,True,7.0,10.0,max-rand,8,32768,-1646071.977,-320.6214704493097,0.6736327886581421
138,link-5000,500000,kg,5,tw,True,3.0,2.0,max-rand,8,32768,-1646071.977,-320.6214704493097,0.5502569460868836
139,link-5000,50000,kg,5,tw,True,3.0,2.0,max-rand,8,16384,-1644661.68,-320.3022454747878,0.6732660031318665
140,link-5000,500000,kg,5,tw,True,7.0,120.0,max-rand,8,32768,-1646071.977,-320.6214704493097,0.7062665581703186
141,link-5000,500,kg,3,cw,True,7.0,2.0,max-rand,6,486,-1624220.182,-317.52971656454883,0.4603783321380615
142,link-5000,500,kg,3,cw,True,7.0,10.0,max-rand,5,256,-1624891.709,-317.3407244062784,0.45586763381958006
143,link-5000,500,kg,3,cw,True,7.0,120.0,max-rand,5,256,-1647969.41,-321.8355103233721,0.4567416214942932
144,link-5000,5000,kg,3,cw,True,3.0,2.0,max-rand,10,4608,-1648679.273,-321.6257902623795,0.5063541865348816
145,link-5000,5000,kg,3,cw,True,7.0,10.0,max-rand,11,4096,-1651391.337,-322.1652443346723,0.48890176773071287
146,link-5000,5000,kg,3,cw,True,3.0,120.0,max-rand,11,4096,-1651547.157,-322.19826902401445,0.509443747997284
147,link-5000,500,kg,3,cw,True,3.0,10.0,max-rand,6,432,-1608490.182,-314.2470794496805,0.4918200850486755
148,link-5000,5000,kg,3,cw,True,7.0,120.0,max-rand,11,4096,-1651547.157,-322.19826902401445,0.4919660830497742
149,link-5000,500,kg,3,cw,True,3.0,2.0,max-rand,5,486,-1612380.649,-314.95874209535174,0.4672562932968139
150,link-5000,5000,kg,3,cw,True,3.0,10.0,max-rand,11,4096,-1651391.337,-322.1652443346723,0.4688358569145203
151,link-5000,5000,kg,3,cw,True,7.0,2.0,max-rand,10,4608,-1648679.273,-321.6257902623795,0.44309105157852174
152,link-5000,500,kg,3,cw,True,3.0,120.0,max-rand,6,432,-1632487.67,-318.8262038844196,0.5001628684997559
153,link-5000,500000,kg,3,cw,True,7.0,120.0,max-rand,8,131072,-1648226.936,-321.27680337085553,0.5490295720100403
154,link-5000,50000,kg,3,cw,True,7.0,120.0,max-rand,7,49152,-1650187.229,-321.0379881454173,0.4471179699897766
155,link-5000,50000,kg,3,cw,True,3.0,2.0,max-rand,6,16384,-1650055.874,-321.0090755807,0.5670387005805969
156,link-5000,50000,kg,3,cw,True,7.0,10.0,max-rand,7,49152,-1650187.229,-321.0379881454173,0.5467765974998474
157,link-5000,50000,kg,3,cw,True,3.0,10.0,max-rand,6,16384,-1650055.874,-321.0090755807,0.4566722011566162
158,link-5000,50000,kg,3,cw,True,3.0,120.0,max-rand,6,16384,-1650116.215,-321.0162030133532,0.5920844078063965
159,link-5000,500000,kg,3,cw,True,7.0,2.0,max-rand,8,131072,-1648226.936,-321.27680337085553,0.5239863729476929
160,link-5000,50000,kg,3,cw,True,7.0,2.0,max-rand,7,49152,-1650187.229,-321.0379881454173,0.595739848613739
161,link-5000,500000,kg,3,cw,True,7.0,10.0,max-rand,8,131072,-1648226.936,-321.27680337085553,0.553246328830719
162,link-5000,500000,kg,3,cw,True,3.0,120.0,max-rand,8,131072,-1648226.936,-321.27680337085553,0.452551953792572
163,link-5000,500000,kg,3,cw,True,3.0,10.0,max-rand,8,131072,-1648226.936,-321.27680337085553,0.5350269794464111
164,link-5000,50,kg,2,cw,True,3.0,120.0,max-rand,4,48,-1742828.697,-345.4404087391569,0.45749345779418943
165,link-5000,50,kg,2,cw,True,7.0,10.0,max-rand,4,48,-1722864.523,-341.3811873685189,0.4207693576812744
166,link-5000,50,kg,2,cw,True,7.0,2.0,max-rand,4,48,-1729147.784,-342.72224521949954,0.4363657331466675
167,link-5000,500000,kg,3,cw,True,3.0,2.0,max-rand,8,131072,-1648226.936,-321.27680337085553,0.49682810783386233
168,link-5000,50,kg,2,cw,True,7.0,120.0,max-rand,4,48,-1741369.974,-345.1403658303529,0.4349658203125
169,link-5000,50,kg,2,cw,True,3.0,2.0,max-rand,4,48,-1725088.162,-341.8876948370476,0.4295312833786011
170,link-5000,50,kg,2,cw,True,3.0,10.0,max-rand,4,48,-1728234.811,-342.50700905020875,0.4333911728858948
171,link-5000,500,kg,2,cw,True,7.0,2.0,max-rand,5,256,-1628310.747,-318.36013840660627,0.3020204997062683
172,link-5000,500,kg,2,cw,True,7.0,10.0,max-rand,5,256,-1631285.939,-319.33100437707117,0.5771310162544251
173,link-5000,500,kg,2,cw,True,7.0,120.0,max-rand,5,256,-1634408.256,-320.25073930028293,0.5622368597984314
174,link-5000,500,kg,2,cw,True,3.0,2.0,max-rand,6,288,-1613604.294,-315.6110135993504,0.4805899548530579
175,link-5000,5000,kg,2,cw,True,7.0,2.0,max-rand,5,4096,-1643206.783,-321.03580629251894,0.5461866211891174
176,link-5000,5000,kg,2,cw,True,7.0,120.0,max-rand,9,3456,-1643020.957,-321.01259718056883,0.5292199635505677
177,link-5000,500,kg,2,cw,True,3.0,120.0,max-rand,6,324,-1626253.132,-318.1926749807277,0.48813910722732545
178,link-5000,500,kg,2,cw,True,3.0,10.0,max-rand,5,324,-1620419.259,-317.07712813392226,0.5293420958518982
179,link-5000,5000,kg,2,cw,True,3.0,10.0,max-rand,9,4096,-1643239.677,-321.0273223656329,0.5883627438545227
180,link-5000,5000,kg,2,cw,True,7.0,10.0,max-rand,9,4096,-1643239.677,-321.0273223656329,0.42337172508239745
181,link-5000,5000,kg,2,cw,True,3.0,2.0,max-rand,5,4096,-1643206.783,-321.03580629251894,0.5329603910446167
182,link-5000,5000,kg,2,cw,True,3.0,120.0,max-rand,9,3456,-1643020.957,-321.01259718056883,0.5289311289787293
183,link-5000,500000,kg,2,cw,True,3.0,2.0,max-rand,16,442368,-1649026.884,-321.6215630567024,0.6389043617248535
184,link-5000,50,kg,1,cw,True,3.0,120.0,max-rand,3,36,-1743489.027,-345.6393407499738,0.4664896869659424
185,link-5000,50,kg,1,cw,True,3.0,2.0,max-rand,4,48,-1724703.449,-341.8216077277381,0.4683831334114074
186,link-5000,500000,kg,2,cw,True,7.0,2.0,max-rand,16,442368,-1649026.884,-321.6215630567024,0.5505944585800171
187,link-5000,50000,kg,2,cw,True,3.0,2.0,max-rand,9,16384,-1649009.432,-322.02565264495405,0.509651837348938
188,link-5000,500000,kg,2,cw,True,3.0,120.0,max-rand,16,442368,-1649026.884,-321.6215630567024,0.5478008246421814
189,link-5000,50000,kg,2,cw,True,7.0,120.0,max-rand,12,41472,-1649280.912,-322.1141896201874,0.529767792224884
190,link-5000,50000,kg,2,cw,True,3.0,120.0,max-rand,12,41472,-1648606.779,-321.88644052172106,0.6605499053001403
191,link-5000,50000,kg,2,cw,True,7.0,10.0,max-rand,12,41472,-1649287.41,-322.11548833498546,0.5414293909072876
192,link-5000,50,kg,1,cw,True,7.0,10.0,max-rand,4,48,-1726188.726,-342.1190865680387,0.4990982890129089
193,link-5000,500000,kg,2,cw,True,3.0,10.0,max-rand,16,442368,-1649026.884,-321.6215630567024,0.6097421431541443
194,link-5000,50000,kg,2,cw,True,3.0,10.0,max-rand,9,16384,-1648736.537,-321.9710727373329,0.5598340058326721
195,link-5000,50,kg,1,cw,True,7.0,2.0,max-rand,4,48,-1729365.233,-342.75805864215477,0.46482510805130006
196,link-5000,500000,kg,2,cw,True,7.0,10.0,max-rand,16,442368,-1649026.884,-321.6215630567024,0.6253304982185364
197,link-5000,50000,kg,2,cw,True,7.0,2.0,max-rand,12,41472,-1651662.482,-322.3973585700896,0.5108484053611755
198,link-5000,500000,kg,2,cw,True,7.0,120.0,max-rand,16,442368,-1649026.884,-321.6215630567024,0.5416169714927673
199,link-5000,50,kg,1,cw,True,7.0,120.0,max-rand,4,48,-1738989.247,-344.69484236679546,0.4274457907676697
200,link-5000,500,kg,1,cw,True,3.0,120.0,max-rand,5,324,-1641969.255,-321.04760962876,0.5195059871673584
201,link-5000,50,kg,1,cw,True,3.0,10.0,max-rand,4,48,-1731440.851,-343.1939094514166,0.5347651481628418
202,link-5000,500,kg,1,cw,True,3.0,2.0,max-rand,5,324,-1617521.684,-316.57011969989827,0.5430315232276917
203,link-5000,500,kg,1,cw,True,7.0,10.0,max-rand,5,256,-1635388.093,-319.7314289850985,0.48096375942230224
204,link-5000,500,kg,1,cw,True,7.0,120.0,max-rand,4,256,-1641006.013,-320.38171139526423,0.5321030116081238
205,link-5000,500,kg,1,cw,True,7.0,2.0,max-rand,6,432,-1621692.346,-316.75591046581343,0.46815474033355714
206,link-5000,500,kg,1,cw,True,3.0,10.0,max-rand,7,384,-1618296.279,-316.29645174638836,0.3962907600402832
