index,instance,numcons,conseed,blipseed,score,timestamp,num_constraints,num_satisfied
979,pigs,25,2,3,-1913809.997,final,125,123
980,andes,50,1,3,-546954.489,30,250,160
981,munin3,25,2,2,-941901.596,30,125,117
982,win95pts,25,2,2,-76122.957,60,125,78
983,andes,25,2,3,-524315.592,final,125,84
984,pigs,75,3,3,-1971306.4,30,375,308
985,survey,10,3,2,-19714.342,final,10,9
986,munin1,50,3,3,-354261.409,30,250,171
987,pigs,25,1,1,-1904156.525,30,125,125
988,barley,5,2,2,-316342.886,final,25,23
989,survey,5,3,2,-19714.342,60,10,9
990,andes,10,3,3,-509332.995,30,50,42
991,andes,25,2,1,-525176.337,30,125,87
992,pathfinder,25,3,3,-197571.507,30,125,98
993,alarm,5,2,2,-60530.775,60,25,23
994,diabetes,25,2,2,-2457854.823,60,125,105
995,pigs,25,3,3,-1924346.812,final,125,122
996,hepar2,25,3,2,-168776.446,final,125,88
997,munin1,10,1,2,-262183.481,final,50,46
998,hailfinder,50,3,1,-304416.16,final,160,103
999,hailfinder,10,2,2,-268223.066,final,50,38
1000,diabetes,50,2,1,-2589654.572,final,250,194
1001,munin3,25,3,3,-946027.999,final,125,110
1002,mildew,5,3,3,-275471.744,30,25,18
1003,win95pts,10,1,1,-54358.517,30,50,47
1004,hepar2,10,2,2,-165756.71,30,50,39
1005,pathfinder,25,1,2,-189882.097,30,125,103
1006,munin1,25,1,1,-303538.203,30,125,94
1007,hailfinder,50,1,1,-300617.339,30,160,89
1008,barley,10,2,2,-332767.035,30,50,36
1009,win95pts,50,1,2,-85100.794,final,250,124
1010,munin3,50,2,3,-967229.071,60,250,233
1011,munin1,10,3,2,-266975.896,30,50,46
1012,survey,10,2,3,-19714.342,final,10,9
1013,andes,25,3,1,-524705.11,final,125,95
1014,alarm,10,2,3,-67369.791,60,50,41
1015,pigs,50,3,2,-1940216.879,30,250,223
1016,munin1,25,3,1,-309189.102,30,125,110
1017,munin,50,1,1,-1123519.76,60,250,232
1018,win95pts,25,1,3,-71143.762,60,125,72
1019,hailfinder,10,2,2,-268223.066,30,50,38
1020,diabetes,50,3,1,-2632445.87,final,250,189
1021,alarm,5,1,3,-57613.985,final,25,23
1022,cancer,5,2,3,-10582.736,final,5,4
1023,pathfinder,50,2,2,-247436.209,final,250,156
1024,hepar2,25,3,2,-168776.446,30,125,88
1025,munin3,25,3,2,-948953.782,final,125,110
1026,munin3,75,3,1,-991325.429,final,375,330
1027,insurance,5,2,3,-76099.56,30,25,24
1028,andes,25,3,3,-524918.526,final,125,95
1029,water,10,2,2,-72629.067,final,50,35
1030,munin1,25,2,3,-313265.827,final,125,95
1031,pathfinder,25,3,2,-198511.878,60,125,98
1032,hepar2,50,1,2,-170406.794,30,230,132
1033,alarm,10,1,2,-68057.132,final,50,41
