index,instance,numcons,conseed,blipseed,score,ts
1706,hepar2,10,3,2,-165838.5582,1711.3
1707,barley,5,2,3,-334065.064,0.1
1708,barley,5,2,3,-334030.4695,0.2
1709,barley,5,2,3,-333443.1721,0.3
1710,barley,5,2,3,-330687.3709,1.1
1711,barley,5,2,3,-330269.0039,1.3
1712,barley,5,2,3,-330220.1432,1.7
1713,barley,5,2,3,-325511.4461,2.4
1714,barley,5,2,3,-323719.1928,3.8
1715,barley,5,2,3,-319213.9714,4.3
1716,barley,5,2,3,-318289.8599,91.5
1717,barley,5,2,3,-314356.0364,94.6
1718,child,10,1,3,-73775.0589,0.1
1719,child,10,1,3,-68393.6931,0.1
1720,child,10,1,3,-67884.3571,0.1
1721,child,10,1,3,-67840.5798,0.3
1722,child,10,1,3,-67810.0109,0.8
1723,child,10,1,3,-67263.6361,0.9
1724,child,10,1,3,-66439.3549,1.3
1725,child,10,1,3,-66408.786,2.1
1726,child,10,1,3,-64375.1699,4.1
1727,asia,5,2,2,-14078.4057,0.1
1728,asia,5,2,2,-13005.2313,0.1
1729,asia,5,2,2,-11618.2029,0.1
1730,asia,5,2,2,-11548.2506,0.1
1731,child,10,2,2,-65840.237,0.1
1732,child,10,2,2,-65840.2369,0.5
1733,child,10,2,2,-64297.2423,24.3
1734,sachs,5,3,3,-36698.2275,0.1
1735,insurance,10,1,1,-92856.3405,0.2
1736,insurance,10,1,1,-90296.5951,0.2
1737,insurance,10,1,1,-88967.8825,0.2
1738,insurance,10,1,1,-88584.3685,0.3
1739,insurance,10,1,1,-87903.4152,0.3
1740,insurance,10,1,1,-87852.1586,0.4
1741,insurance,10,1,1,-83622.5906,0.4
1742,insurance,10,1,1,-82367.1141,0.6
1743,insurance,10,1,1,-81709.0836,0.7
1744,insurance,10,1,1,-79728.7962,0.9
1745,insurance,10,1,1,-78952.9793,2.9
1746,hailfinder,50,2,2,-310885.3575,0.3
1747,hailfinder,50,2,2,-301724.298,0.3
1748,hailfinder,50,2,2,-301428.5121,0.4
1749,hailfinder,50,2,2,-301428.3441,0.9
1750,hailfinder,50,2,2,-300764.8642,2.0
1751,link,25,1,2,-1689361.3944,1.0
1752,link,25,1,2,-1685662.7861,69.9
1753,link,25,1,2,-1683443.6061,587.8
1754,munin,25,3,3,-1103044.9091,1.1
1755,munin,25,3,3,-1099091.5508,1.4
1756,munin,25,3,3,-1095500.146,4.4
1757,munin,25,3,3,-1095130.4361,110.8
1758,munin,25,3,3,-1090952.9533,981.9
1759,alarm,5,3,2,-64098.3517,0.4
1760,alarm,5,3,2,-62320.7783,0.4
1761,alarm,5,3,2,-60483.3048,1.4
1762,alarm,5,3,2,-60183.8402,2.0
1763,alarm,5,3,2,-60033.67,2.6
1764,alarm,5,3,2,-59116.0202,2.6
1765,alarm,5,3,2,-58586.4697,3.4
1766,alarm,5,3,2,-57769.2268,3.9
1767,alarm,5,3,2,-57413.3491,4.7
1768,alarm,5,3,2,-57292.1651,757.1
1769,alarm,5,3,2,-57218.0483,2299.5
1770,mildew,5,3,2,-283939.5744,0.1
1771,mildew,5,3,2,-280031.5602,0.1
1772,mildew,5,3,2,-277202.807,0.1
1773,mildew,5,3,2,-276497.6992,0.1
1774,mildew,5,3,2,-276079.5523,0.3
1775,mildew,5,3,2,-276069.1314,1.0
1776,mildew,5,3,2,-276059.0483,1.2
1777,mildew,5,3,2,-275826.931,1.2
1778,mildew,5,3,2,-275660.798,1.6
1779,mildew,5,3,2,-275485.1031,1.7
1780,mildew,5,3,2,-275471.7441,22.1
1781,survey,10,2,2,-19714.3416,0.1
1782,hepar2,50,3,2,-173620.7213,0.2
1783,hepar2,50,3,2,-173604.9039,0.2
1784,hepar2,50,3,2,-173509.4853,0.4
1785,hepar2,50,3,2,-173359.965,1.6
1786,hepar2,50,3,2,-171252.3212,1.8
1787,hepar2,50,3,2,-171142.2486,2.0
1788,hepar2,50,3,2,-171095.9599,3.8
1789,munin3,50,3,1,-965105.3181,3.4
1790,diabetes,10,2,2,-2388920.9865,0.3
1791,diabetes,10,2,2,-2380777.1559,1.4
1792,diabetes,10,2,2,-2370463.0681,3403.5
1793,munin3,50,1,3,-964210.4594,3.2
1794,andes,10,1,3,-519863.6206,0.7
1795,andes,10,1,3,-517226.4068,1.4
1796,andes,10,1,3,-515562.2589,3.5
1797,andes,10,1,3,-514938.3657,13.5
1798,andes,10,1,3,-512587.3591,16.9
1799,andes,10,1,3,-511024.094,22.4
1800,andes,10,1,3,-510933.9479,75.4
