index,instance,conseed,numcons,blipseed,score,num_constraints,num_satisfied
267,insurance,3,10,3,-68525.467,50,36
268,insurance,3,5,3,-68525.467,25,19
269,insurance,1,5,3,-68525.467,25,16
270,hailfinder,1,25,1,-252977.773,125,78
271,hailfinder,3,50,1,-252977.773,160,104
272,hailfinder,3,25,1,-252977.773,125,78
273,hailfinder,2,10,1,-252977.773,50,33
274,hailfinder,2,25,1,-252977.773,125,76
275,hailfinder,3,10,1,-252977.773,50,27
276,hailfinder,1,50,1,-252977.773,160,96
277,hailfinder,1,10,1,-252977.773,50,30
278,hailfinder,2,50,1,-252977.773,160,98
279,child,1,10,2,-62059.504,50,47
280,child,3,5,2,-62059.504,25,24
281,child,3,10,2,-62059.504,50,45
282,child,1,5,2,-62059.504,25,22
283,child,2,10,2,-62059.504,50,49
284,child,2,5,2,-62059.504,25,20
285,munin4,2,75,1,-1057395.92,375,213
286,munin4,3,50,1,-1057395.92,250,135
287,munin4,1,75,1,-1057395.92,375,200
288,munin4,1,25,1,-1057395.92,125,69
289,munin4,3,25,1,-1057395.92,125,72
290,munin4,1,50,1,-1057395.92,250,137
291,munin4,2,25,1,-1057395.92,125,74
292,munin4,3,75,1,-1057395.92,375,210
293,munin4,2,50,1,-1057395.92,250,144
294,earthquake,3,5,2,-2478.611,10,10
295,earthquake,1,5,2,-2478.611,10,10
296,earthquake,2,5,2,-2478.611,10,10
297,earthquake,3,10,2,-2478.611,10,10
298,earthquake,1,10,2,-2478.611,10,10
299,earthquake,2,10,2,-2478.611,10,10
300,pathfinder,1,50,1,-153301.947,250,150
301,pathfinder,2,25,1,-153301.947,125,75
302,pathfinder,3,50,1,-153301.947,250,152
303,pathfinder,1,10,1,-153301.947,50,32
304,pathfinder,1,25,1,-153301.947,125,77
305,pathfinder,3,25,1,-153301.947,125,75
306,pathfinder,2,10,1,-153301.947,50,30
307,pathfinder,3,10,1,-153301.947,50,31
308,pathfinder,2,50,1,-153301.947,250,153
309,link,2,50,2,-1643664.831,250,146
310,link,1,75,2,-1643664.831,375,213
311,link,1,50,2,-1643664.831,250,140
312,link,2,25,2,-1643664.831,125,71
313,link,3,25,2,-1643664.831,125,71
314,link,3,75,2,-1643664.831,375,214
315,link,1,25,2,-1643664.831,125,68
316,link,3,50,2,-1643664.831,250,139
317,link,2,75,2,-1643664.831,375,221
318,hailfinder,1,25,3,-252870.745,125,86
319,hailfinder,3,50,3,-252870.745,160,114
320,hailfinder,3,25,3,-252870.745,125,84
321,hailfinder,2,10,3,-252870.745,50,37
322,hailfinder,2,25,3,-252870.745,125,83
323,hailfinder,3,10,3,-252870.745,50,32
324,hailfinder,1,50,3,-252870.745,160,107
325,hailfinder,1,10,3,-252870.745,50,35
326,hailfinder,2,50,3,-252870.745,160,111
327,munin1,3,50,1,-246599.434,250,140
328,munin1,2,25,1,-246599.434,125,68
329,munin1,1,25,1,-246599.434,125,71
330,munin1,2,10,1,-246599.434,50,27
331,munin1,3,25,1,-246599.434,125,64
332,munin1,2,50,1,-246599.434,250,138
333,munin1,1,10,1,-246599.434,50,33
334,munin1,3,10,1,-246599.434,50,28
335,munin1,1,50,1,-246599.434,250,140
336,andes,2,10,1,-500868.825,50,30
337,andes,1,10,1,-500868.825,50,29
338,andes,1,25,1,-500868.825,125,72
339,andes,3,50,1,-500868.825,250,152
340,andes,2,25,1,-500868.825,125,70
341,andes,3,10,1,-500868.825,50,30
342,andes,3,25,1,-500868.825,125,71
343,andes,2,50,1,-500868.825,250,151
344,andes,1,50,1,-500868.825,250,150
345,munin4,2,75,2,-1057498.413,375,203
346,munin4,3,50,2,-1057498.413,250,146
347,munin4,1,75,2,-1057498.413,375,197
348,munin4,1,25,2,-1057498.413,125,66
349,munin4,3,25,2,-1057498.413,125,66
350,munin4,1,50,2,-1057498.413,250,136
351,munin4,2,25,2,-1057498.413,125,69
352,munin4,3,75,2,-1057498.413,375,208
353,munin4,2,50,2,-1057498.413,250,135
354,survey,2,5,1,-19710.916,10,7
355,survey,1,10,1,-19710.916,10,7
356,survey,1,5,1,-19710.916,10,7
357,survey,3,10,1,-19710.916,10,8
358,survey,2,10,1,-19710.916,10,7
359,survey,3,5,1,-19710.916,10,8
360,sachs,1,5,2,-36511.41,25,20
361,sachs,2,5,2,-36511.41,25,18
362,sachs,1,10,2,-36511.41,40,29
363,sachs,2,10,2,-36511.41,40,33
364,sachs,3,10,2,-36511.41,40,32
365,sachs,3,5,2,-36511.41,25,19
366,water,2,5,1,-65892.697,25,15
367,water,2,10,1,-65892.697,50,34
368,water,1,5,1,-65892.697,25,16
369,water,3,10,1,-65892.697,50,35
370,water,3,5,1,-65892.697,25,17
371,water,1,10,1,-65892.697,50,32
372,pathfinder,1,50,3,-152674.355,250,156
373,pathfinder,2,25,3,-152674.355,125,77
374,pathfinder,3,50,3,-152674.355,250,160
375,pathfinder,1,10,3,-152674.355,50,30
376,pathfinder,1,25,3,-152674.355,125,82
377,pathfinder,3,25,3,-152674.355,125,78
378,pathfinder,2,10,3,-152674.355,50,33
379,pathfinder,3,10,3,-152674.355,50,33
380,pathfinder,2,50,3,-152674.355,250,154
381,sachs,1,5,3,-36511.41,25,19
382,sachs,2,5,3,-36511.41,25,17
383,sachs,1,10,3,-36511.41,40,28
384,sachs,2,10,3,-36511.41,40,31
385,sachs,3,10,3,-36511.41,40,32
386,sachs,3,5,3,-36511.41,25,19
387,alarm,2,5,2,-54533.232,25,19
388,alarm,3,10,2,-54533.232,50,32
389,alarm,1,5,2,-54533.232,25,18
390,alarm,2,10,2,-54533.232,50,28
391,alarm,1,10,2,-54533.232,50,31
392,alarm,3,5,2,-54533.232,25,17
393,link,2,50,1,-1642512.402,250,156
394,link,1,75,1,-1642512.402,375,215
395,link,1,50,1,-1642512.402,250,144
396,link,2,25,1,-1642512.402,125,74
397,link,3,25,1,-1642512.402,125,76
398,link,3,75,1,-1642512.402,375,220
399,link,1,25,1,-1642512.402,125,74
400,link,3,50,1,-1642512.402,250,148
401,link,2,75,1,-1642512.402,375,220
402,pathfinder,1,50,2,-152453.137,250,150
